warning: No library characterized for (process = 1.00 voltage = 0.85 temperature = -40.00) can be found in the database for power domain '/PD_TOP'  [NL-174]
Report Power (instances with prefix '*' are included in total) : 
-----+----------+--------------------+---------------------+-------------------+-----------------
     | Instance | Internal Power(uw) | Switching Power(uw) | Leakage Power(uw) | Total Power(uw) 
201  |*i_0_0_166|            0.628181|             0.878403|           0.006839|         1.513423
202  |*i_0_0_167|            1.074008|             2.824472|           0.008181|         3.906662
203  |*i_0_0_168|            0.629611|             0.956390|           0.006839|         1.592840
204  |*i_0_0_169|            1.032970|             7.338083|           0.007821|         8.378874
205  |*i_0_0_170|            0.628181|             0.878403|           0.006839|         1.513423
206  |*i_0_0_171|            1.075510|             2.467860|           0.008181|         3.551550
207  |*i_0_0_172|            0.629611|             0.956390|           0.006839|         1.592840
208  |*i_0_0_173|            1.027243|             3.450776|           0.007821|         4.485840
209  |*i_0_0_174|            0.628181|             0.878403|           0.006839|         1.513423
210  |*i_0_0_175|            1.074711|             2.615960|           0.008181|         3.698853
211  |*i_0_0_176|            0.629611|             0.956390|           0.006839|         1.592840
212  |*i_0_0_177|            1.026386|             2.887345|           0.007821|         3.921552
213  |*i_0_0_178|            0.628181|             0.878403|           0.006839|         1.513423
214  |*i_0_0_179|            1.058270|             7.338619|           0.008181|         8.405070
215  |*i_0_0_180|            0.629611|             0.956390|           0.006839|         1.592840
216  |*i_0_0_181|            1.028898|             4.648090|           0.007821|         5.684810
217  |*i_0_0_182|            0.628181|             0.878403|           0.006839|         1.513423
218  |*i_0_0_183|            1.070293|             3.745454|           0.008181|         4.823928
219  |*i_0_0_184|            0.629611|             0.956390|           0.006839|         1.592840
220  |*i_0_0_185|            1.026375|             2.893665|           0.007821|         3.927860
221  |*i_0_0_186|            0.626917|             0.878403|           0.006839|         1.512159
222  |*i_0_0_187|            1.055423|            24.325121|           0.007821|        25.388367
223  |*i_0_0_188|            0.332703|             1.375577|           0.002775|         1.711056
224  |*i_0_0_189|            0.867500|             5.944040|           0.008128|         6.819667
225  |*i_0_0_190|            0.667645|             1.905048|           0.005333|         2.578026
226  |*i_0_0_191|            0.854124|             1.842284|           0.008128|         2.704536
227  |*i_0_0_192|            0.667650|             1.905060|           0.005333|         2.578043
228  |*i_0_0_193|            0.854131|             1.842304|           0.008128|         2.704564
229  |*i_0_0_194|            0.667668|             1.905098|           0.005333|         2.578099
230  |*i_0_0_195|            0.854153|             1.842370|           0.008128|         2.704650
231  |*i_0_0_196|            0.667725|             1.905219|           0.005333|         2.578277
232  |*i_0_0_197|            0.854220|             1.842578|           0.008128|         2.704925
233  |*i_0_0_198|            0.667905|             1.905599|           0.005333|         2.578837
234  |*i_0_0_199|            0.854430|             1.843229|           0.008128|         2.705787
235  |*i_0_0_200|            0.668467|             1.906788|           0.005333|         2.580589
236  |*i_0_0_201|            0.854508|             1.845250|           0.008128|         2.707886
237  |*i_0_0_202|            0.784431|             1.927804|           0.008593|         2.720828
238  |*i_0_0_203|            0.385609|             2.187148|           0.005012|         2.577769
239  |*i_0_0_204|            0.779382|             1.817327|           0.008593|         2.605301
240  |*i_0_0_205|            0.254685|             0.742491|           0.002775|         0.999951
241  |*i_0_0_206|            0.368960|             4.859309|           0.005012|         5.233282
242  |*i_0_0_207|            0.388997|             1.424208|           0.005012|         1.818217
243  |*i_0_0_208|            0.367615|             0.736263|           0.003931|         1.107808
244  |*i_0_0_209|            0.254685|             0.742491|           0.002775|         0.999951
245  |*i_0_0_210|            0.368960|             4.859309|           0.005012|         5.233282
